,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
1325,liverpool,ca,44.04,-64.71,37.34,82.0,0.0,12.33
1327,mbumi,tz,-7.91,39.21,74.78,98.0,8.0,3.6
1333,pangnirtung,ca,66.15,-65.72,-0.41,77.0,20.0,6.93
1339,khasan,ru,42.43,130.64,17.54,100.0,0.0,2.37
1344,raudeberg,no,61.99,5.14,32.0,100.0,75.0,6.93
1346,sorland,no,67.67,12.69,35.6,99.0,75.0,10.29
1349,lorengau,pg,-2.02,147.27,82.61,99.0,68.0,13.56
1350,bardsir,ir,29.93,56.57,44.6,12.0,0.0,4.7
1353,wrzesnia,pl,52.33,17.57,32.0,82.0,20.0,8.05
1355,maniitsoq,gl,65.42,-52.9,28.07,80.0,12.0,3.15
1359,capreol,ca,46.71,-80.92,23.0,35.0,40.0,12.75
1360,auki,sb,-8.77,160.7,78.38,100.0,56.0,4.05
1361,ostrovnoy,ru,68.05,39.51,9.8,87.0,80.0,17.13
1363,ariquemes,br,-9.91,-63.03,86.3,66.0,44.0,2.04
1371,vestmannaeyjar,is,63.44,-20.27,40.49,91.0,80.0,6.17
1375,klaksvik,fo,62.23,-6.59,42.8,81.0,48.0,10.29
1381,ucluelet,ca,48.94,-125.55,46.4,81.0,90.0,6.93
1383,jinka,et,5.79,36.57,60.2,92.0,20.0,1.14
1387,brandfort,za,-28.7,26.46,60.8,82.0,0.0,10.29
1388,kantunilkin,mx,21.1,-87.49,87.8,55.0,40.0,14.99
1391,dakar,sn,14.69,-17.45,69.8,73.0,0.0,9.17
1395,kardla,ee,58.44,26.57,26.6,68.0,56.0,14.99
1396,contamana,pe,-7.35,-75.01,88.91,61.0,8.0,3.04
1398,murgab,tm,37.5,61.97,57.2,82.0,5.0,4.7
1401,saquisili,ec,-0.83,-78.67,72.55,43.0,40.0,17.22
1402,robertsport,lr,6.75,-11.37,79.46,100.0,88.0,5.17
1405,merauke,id,-8.49,140.4,74.06,100.0,76.0,10.65
1409,uk,ru,55.08,98.86,20.06,68.0,0.0,4.94
1411,neiafu,to,-18.65,-173.98,75.2,94.0,75.0,10.29
1418,evensk,ru,61.92,159.24,9.71,100.0,88.0,34.58
1432,tazovskiy,ru,67.47,78.7,-11.9,76.0,44.0,10.2
1435,coquimbo,cl,-29.95,-71.34,64.4,68.0,0.0,9.17
1445,warragul,au,-38.16,145.93,58.04,69.0,20.0,8.19
1449,bintulu,my,3.17,113.03,75.2,94.0,75.0,2.24
1454,changji,cn,32.07,116.17,33.83,95.0,64.0,8.08
1455,danville,us,37.65,-84.77,36.57,93.0,90.0,8.05
1460,vredendal,za,-31.68,18.49,48.32,93.0,0.0,2.37
1469,eten,pe,-6.91,-79.86,80.6,61.0,20.0,23.04
1472,palauig,ph,15.44,119.9,70.82,100.0,0.0,5.84
1483,ilheus,br,-14.79,-39.05,86.0,74.0,20.0,8.05
1488,karatau,kz,43.18,70.46,40.94,83.0,0.0,2.59
1490,emborion,gr,40.48,21.55,35.9,79.0,0.0,3.71
1491,hede,cn,33.77,120.25,40.4,99.0,92.0,11.1
1492,vihti,fi,60.42,24.32,17.6,57.0,0.0,10.29
1495,nantucket,us,41.28,-70.1,34.52,55.0,1.0,13.87
1509,nouakchott,mr,18.08,-15.98,67.94,87.0,0.0,21.16
1517,oranjemund,na,-28.55,16.43,60.74,96.0,12.0,13.89
1519,weston,us,39.04,-80.47,42.82,73.0,90.0,10.29
1522,finnsnes,no,69.23,17.98,25.77,85.0,90.0,8.05
1526,avezzano,it,42.03,13.43,35.63,95.0,88.0,2.15
1531,mana,gf,5.67,-53.78,80.81,78.0,92.0,4.5
1538,dudinka,ru,69.41,86.18,-4.43,78.0,56.0,24.74
1543,ust-karsk,ru,52.71,118.82,17.0,70.0,0.0,3.94
1545,muisne,ec,0.61,-80.02,83.96,74.0,12.0,5.39
1552,qasigiannguit,gl,68.82,-51.19,17.6,92.0,90.0,3.36
1554,ojinaga,mx,29.57,-104.42,77.48,9.0,0.0,3.38
1557,deputatskiy,ru,69.3,139.9,-38.81,77.0,8.0,2.71
1559,bandarbeyla,so,9.49,50.81,78.2,100.0,0.0,11.65
1564,wajima,jp,37.4,136.9,41.93,85.0,92.0,19.93
1565,coihaique,cl,-45.58,-72.07,54.25,50.0,0.0,6.93
1567,sembakung,id,3.82,117.25,74.15,98.0,92.0,2.04
1574,hualmay,pe,-11.1,-77.61,74.24,70.0,12.0,4.72
1576,beloha,mg,-25.17,45.06,73.43,85.0,68.0,5.28
1578,kiunga,pg,-6.12,141.3,70.64,99.0,92.0,2.71
1581,nachalovo,ru,46.34,48.19,30.2,86.0,0.0,13.42
1589,seymchan,ru,62.93,152.39,-13.88,61.0,36.0,12.66
1590,jizan,sa,16.89,42.56,84.2,66.0,0.0,6.93
1600,wilmington,us,39.75,-75.55,31.33,100.0,90.0,17.22
1602,ust-nera,ru,64.57,143.24,-30.71,45.0,12.0,2.04
1619,snyder,us,32.72,-100.92,61.79,19.0,1.0,5.82
1640,ambunti,pg,-4.22,142.82,71.72,100.0,76.0,2.59
1641,amuntai,id,-2.42,115.25,73.43,97.0,92.0,1.14
1644,pilar,ph,17.42,120.6,61.37,80.0,0.0,2.37
1669,bogovarovo,ru,58.98,47.02,26.63,88.0,88.0,8.08
1674,scarborough,gb,54.28,-0.41,38.03,93.0,44.0,3.36
1677,pacifica,us,37.61,-122.49,54.36,87.0,75.0,4.7
1681,jiazi,cn,19.61,110.49,64.4,77.0,0.0,8.95
1686,gari,ru,59.43,62.35,13.04,83.0,0.0,5.73
1687,iquique,cl,-20.22,-70.14,71.6,60.0,0.0,16.11
1694,machico,pt,32.7,-16.77,60.8,63.0,20.0,12.75
1703,mossendjo,cg,-2.95,12.72,73.34,98.0,68.0,1.36
1705,biltine,td,14.53,20.93,69.47,57.0,0.0,2.71
1708,ligayan,ph,4.65,119.47,82.34,100.0,36.0,8.19
1711,lavrentiya,ru,65.58,-170.99,8.63,100.0,56.0,10.42
1715,maragogi,br,-9.01,-35.22,80.18,80.0,24.0,7.63
1720,kandiari,pk,26.92,68.52,69.65,40.0,0.0,7.74
1729,kizema,ru,61.11,44.83,10.79,84.0,56.0,17.69
1738,ilebo,cd,-4.33,20.59,74.33,91.0,48.0,2.59
1744,kyra,ru,49.58,111.97,16.1,68.0,0.0,2.93
1746,hobyo,so,5.35,48.53,80.9,86.0,92.0,13.0
1747,sacramento,br,-19.87,-47.44,86.0,45.0,40.0,5.82
1756,florianopolis,br,-27.6,-48.55,68.0,94.0,75.0,8.08
1761,bilma,ne,18.69,12.92,71.45,18.0,0.0,7.4
1766,biloela,au,-24.4,150.51,66.68,85.0,8.0,10.42
1773,jeremie,ht,18.65,-74.12,76.04,100.0,76.0,3.04
1776,naze,jp,28.37,129.48,66.23,100.0,76.0,12.44
1780,acatic,mx,20.78,-102.91,86.0,11.0,5.0,3.94
1781,fargo,us,46.88,-96.79,31.1,96.0,90.0,8.05
1783,bredy,ru,52.43,60.33,22.13,93.0,92.0,10.31
1790,gasa,bt,27.91,89.73,-12.98,22.0,0.0,1.59
1791,lewistown,us,40.39,-90.15,40.12,55.0,90.0,14.99
1802,vardo,no,70.37,31.11,9.68,66.0,0.0,23.04
1803,lewisville,us,33.05,-96.99,62.6,41.0,20.0,17.22
1813,houma,us,29.6,-90.72,67.42,40.0,5.0,16.11
1820,marawi,sd,18.48,31.82,74.06,27.0,0.0,6.96
1821,fez,ma,34.03,-5.02,43.79,93.0,75.0,19.46
1834,havelock,us,34.88,-76.9,67.1,73.0,75.0,21.92
1836,madingou,cg,-4.17,13.56,77.12,85.0,80.0,2.37
1837,cayenne,gf,4.94,-52.33,84.2,74.0,20.0,11.41
1855,kathmandu,np,27.71,85.32,57.2,76.0,20.0,3.71
1860,qandala,so,11.47,49.87,63.08,100.0,0.0,2.48
1861,igrim,ru,63.19,64.42,1.61,70.0,12.0,2.59
1864,praia,cv,14.92,-23.51,69.8,73.0,20.0,29.97
1870,nadrag,ro,45.65,22.18,32.0,94.0,90.0,5.82
1873,aykhal,ru,65.95,111.51,21.5,88.0,80.0,10.98
1874,baruun-urt,mn,46.68,113.28,13.04,64.0,0.0,3.04
1880,gorahun,sl,7.46,-11.24,79.1,81.0,24.0,4.5
1884,bokhan,ru,53.15,103.77,22.04,65.0,0.0,7.4
1887,narsaq,gl,60.91,-46.05,37.4,69.0,75.0,2.24
1890,port-gentil,ga,-0.72,8.78,82.4,83.0,40.0,5.82
1891,malanje,ao,-9.54,16.35,67.58,97.0,44.0,4.27
1899,yarmouth,ca,43.84,-66.12,32.0,95.0,20.0,14.99
1903,mouila,ga,-1.86,11.06,74.33,99.0,92.0,1.92
1905,touros,br,-5.2,-35.46,82.16,79.0,68.0,10.76
1906,bujumbura,bi,-3.36,29.37,62.72,100.0,92.0,1.36
1909,itaueira,br,-7.6,-43.03,75.68,92.0,32.0,2.93
1910,gamba,tz,-5.9,39.3,80.6,83.0,20.0,12.21
1914,aitape,pg,-3.15,142.36,78.2,100.0,36.0,6.96
1922,acapulco,mx,16.86,-99.88,82.4,69.0,5.0,3.36
1923,nicoya,cr,10.15,-85.45,95.0,41.0,40.0,6.93
1928,liling,cn,27.65,113.49,37.4,93.0,40.0,2.24
1929,phayao,th,19.17,99.9,72.8,71.0,24.0,5.73
1931,hoshcha,ua,50.6,26.67,20.96,95.0,88.0,6.4
1935,noshiro,jp,40.21,140.05,33.11,100.0,12.0,13.22
1938,surgut,ru,61.25,73.4,17.6,85.0,44.0,8.95
1939,saint-jean-de-la-ruelle,fr,47.91,1.87,38.35,64.0,0.0,9.17
1941,torrington,us,42.06,-104.18,51.01,25.0,75.0,20.8
1944,pangai,to,-19.8,-174.35,82.4,83.0,40.0,3.38
1949,lubbock,us,33.58,-101.86,58.05,18.0,75.0,10.42
1953,nurobod,uz,40.91,69.8,57.2,76.0,0.0,2.24
1960,susanville,us,40.42,-120.65,51.8,43.0,75.0,4.7
1961,rockport,us,28.02,-97.05,76.66,29.0,1.0,10.29
1968,glomfjord,no,66.82,13.94,32.0,92.0,90.0,2.24
1976,champerico,gt,14.3,-91.92,91.4,49.0,75.0,9.17
1985,detchino,ru,54.81,36.31,11.24,70.0,80.0,2.93
1986,ndele,cf,8.41,20.65,82.7,56.0,36.0,9.86
1999,stromness,gb,58.97,-3.3,39.02,75.0,80.0,13.87
